Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1724112000000,2024-08-20,BNTBTC,8.09e-06,8.19e-06,7.96e-06,8.11e-06,36131.8,0.29250993,247
1724025600000,2024-08-19,BNTBTC,8.11e-06,8.23e-06,8.02e-06,8.13e-06,76408.8,0.6243473,1174
1723939200000,2024-08-18,BNTBTC,7.91e-06,8.15e-06,7.83e-06,8.07e-06,20255.8,0.16274583,1114
1723852800000,2024-08-17,BNTBTC,7.96e-06,8.03e-06,7.84e-06,7.91e-06,22302.6,0.17738741,346
1723766400000,2024-08-16,BNTBTC,8.02e-06,8.04e-06,7.87e-06,7.96e-06,20364.0,0.16193572,114
1723680000000,2024-08-15,BNTBTC,8.21e-06,8.32e-06,7.92e-06,8.01e-06,85593.6,0.69509816,388
1723593600000,2024-08-14,BNTBTC,8.13e-06,8.18e-06,8.03e-06,8.17e-06,35193.9,0.28548875,547
1723507200000,2024-08-13,BNTBTC,8.26e-06,8.26e-06,8.02e-06,8.18e-06,6974.9,0.05694599,66
1723420800000,2024-08-12,BNTBTC,7.98e-06,8.28e-06,7.97e-06,8.25e-06,19966.7,0.16151203,92
1723334400000,2024-08-11,BNTBTC,7.9e-06,8.13e-06,7.89e-06,7.92e-06,19167.2,0.15302883,109
1723248000000,2024-08-10,BNTBTC,7.89e-06,8.2e-06,7.87e-06,7.97e-06,45138.5,0.36298159,323
1723161600000,2024-08-09,BNTBTC,7.91e-06,7.96e-06,7.8e-06,7.85e-06,12051.4,0.09499159,55
1723075200000,2024-08-08,BNTBTC,7.9e-06,8.04e-06,7.81e-06,7.88e-06,25601.1,0.20402563,162
1722988800000,2024-08-07,BNTBTC,8.19e-06,8.19e-06,7.8e-06,7.93e-06,19824.2,0.15843154,195
1722902400000,2024-08-06,BNTBTC,8.15e-06,8.29e-06,8.07e-06,8.15e-06,26010.0,0.21275744,184
1722816000000,2024-08-05,BNTBTC,8.35e-06,8.35e-06,7.49e-06,8.09e-06,54319.4,0.43792158,600
1722729600000,2024-08-04,BNTBTC,8.37e-06,8.53e-06,8.26e-06,8.34e-06,49494.0,0.41793661,415
1722643200000,2024-08-03,BNTBTC,8.55e-06,8.63e-06,8.29e-06,8.4e-06,99189.3,0.83574169,596
1722556800000,2024-08-02,BNTBTC,8.85e-06,8.85e-06,8.43e-06,8.6e-06,48076.2,0.41813374,365
1722470400000,2024-08-01,BNTBTC,8.85e-06,8.93e-06,8.62e-06,8.8e-06,49734.0,0.43599874,444
1722384000000,2024-07-31,BNTBTC,8.95e-06,9e-06,8.8e-06,8.8e-06,15005.2,0.13346569,185
1722297600000,2024-07-30,BNTBTC,9.08e-06,9.2e-06,8.82e-06,8.93e-06,25634.3,0.23056001,270
1722211200000,2024-07-29,BNTBTC,8.69e-06,9.07e-06,8.68e-06,9.07e-06,24496.0,0.21820813,219
1722124800000,2024-07-28,BNTBTC,8.83e-06,8.83e-06,8.71e-06,8.74e-06,7246.8,0.06334383,102
