Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1744761600000,2025-04-16,BTCEUR,74106.37,75200.0,73084.2,73747.0,298.94201,22111467.8193509,57485
1744675200000,2025-04-15,BTCEUR,74648.87,76431.2,74069.31,74118.24,305.51416,23008204.2857703,54436
1744588800000,2025-04-14,BTCEUR,73870.98,75587.39,73634.68,74648.87,424.78729,31685322.2153435,71461
1744502400000,2025-04-13,BTCEUR,75157.04,75890.39,73310.25,73863.34,307.14206,22825984.283514,56996
1744416000000,2025-04-12,BTCEUR,73398.74,75740.34,72900.3,75166.76,229.95884,17083094.477044,39864
1744329600000,2025-04-11,BTCEUR,70713.0,74537.42,69787.0,73398.74,820.45138,59207580.9035211,99437
1744243200000,2025-04-10,BTCEUR,75445.87,75534.84,70084.1,70705.86,549.18253,39884833.5178962,83019
1744156800000,2025-04-09,BTCEUR,69497.4,76350.0,67606.87,75428.82,1502.33236,107832583.6700198,172205
1744070400000,2025-04-08,BTCEUR,72551.11,73747.02,69430.8,69489.1,647.79629,46506055.7082523,94966
1743984000000,2025-04-07,BTCEUR,71302.12,78666.66,67526.67,72533.93,1746.16997,123799994.3615804,221795
1743897600000,2025-04-06,BTCEUR,76143.43,76392.99,70076.94,71294.99,933.38655,67949858.5956329,106264
1743811200000,2025-04-05,BTCEUR,76508.03,76835.79,75123.4,76135.28,169.34831,12839763.7297473,30538
1743724800000,2025-04-04,BTCEUR,75353.36,77244.43,73900.0,76504.25,721.59785,54528690.5548002,96859
1743638400000,2025-04-03,BTCEUR,75679.14,76919.18,73105.51,75329.46,581.63128,43608051.5539927,84054
1743552000000,2025-04-02,BTCEUR,78886.54,81298.53,75626.47,75684.19,735.19159,58060036.7825575,97949
1743465600000,2025-04-01,BTCEUR,76266.76,79215.79,76122.27,78886.54,319.44682,24931078.0741251,54096
1743379200000,2025-03-31,BTCEUR,76157.73,77674.17,75051.0,76278.03,320.84079,24479652.9145734,57548
1743292800000,2025-03-30,BTCEUR,76412.27,77270.66,75480.01,76137.01,134.8588,10320664.9870057,29225
1743206400000,2025-03-29,BTCEUR,77996.81,78177.49,75480.01,76410.66,151.96117,11630160.1221072,34004
1743120000000,2025-03-28,BTCEUR,80770.47,81037.2,77222.0,77997.83,294.97698,23203697.3212776,48700
1743033600000,2025-03-27,BTCEUR,80961.18,81479.54,79548.4,80770.47,183.11154,14770146.5533754,33766
1742947200000,2025-03-26,BTCEUR,81044.64,81888.77,79878.92,80949.41,178.95779,14481491.6421538,33560
1742860800000,2025-03-25,BTCEUR,81037.28,82057.45,79935.3,81027.96,260.58845,21118341.3994015,36594
1742774400000,2025-03-24,BTCEUR,79469.98,82132.99,79024.05,81022.98,315.60009,25553483.8794146,45992
1742688000000,2025-03-23,BTCEUR,77526.93,79521.0,77484.68,79476.59,81.24623,6387001.1169264,15449
1742601600000,2025-03-22,BTCEUR,77738.34,78188.8,77369.01,77526.92,46.96459,3656097.5192885,15454
1742515200000,2025-03-21,BTCEUR,77587.47,78289.44,76787.96,77738.34,183.49635,14229592.9883909,29833
1742428800000,2025-03-20,BTCEUR,79622.06,80150.0,77078.67,77596.94,320.4054,25204721.4640895,45197
1742342400000,2025-03-19,BTCEUR,75620.14,79785.0,75494.62,79622.55,373.07782,28934455.9998432,59013
1742256000000,2025-03-18,BTCEUR,76952.08,76967.47,74237.15,75629.19,269.34855,20291787.9704101,69807
1742169600000,2025-03-17,BTCEUR,75934.53,77632.8,75636.25,76952.08,283.00282,21673380.9972854,67581
1742083200000,2025-03-16,BTCEUR,77597.33,78265.0,75362.46,75934.53,247.0617,18942951.2716067,57356
1741996800000,2025-03-15,BTCEUR,77238.59,77863.01,76927.32,77597.36,84.12256,6519064.6455223,27258
1741910400000,2025-03-14,BTCEUR,74748.85,78500.0,74459.54,77233.3,368.92197,28362821.3193325,74771
1741824000000,2025-03-13,BTCEUR,76896.37,77444.68,73607.03,74748.84,367.69672,27800362.1264345,100491
1741737600000,2025-03-12,BTCEUR,75993.71,77435.24,73889.45,76902.4,458.37814,34762632.6113128,137220
1741651200000,2025-03-11,BTCEUR,72533.61,76505.0,70639.92,76000.0,729.28664,53954617.8691414,130525
1741564800000,2025-03-10,BTCEUR,74356.32,77560.24,71510.0,72534.67,628.40833,46654862.7911842,136759
1741478400000,2025-03-09,BTCEUR,79627.49,79915.22,73705.15,74343.38,345.06813,26410403.6251474,68283
1741392000000,2025-03-08,BTCEUR,80098.72,80229.09,78680.54,79656.38,105.6577,8408441.3169284,28104
1741305600000,2025-03-07,BTCEUR,83420.84,84622.95,78529.44,80130.98,644.91009,52411939.21107,140233
1741219200000,2025-03-06,BTCEUR,83973.29,86000.0,81442.78,83395.37,395.19498,33054934.2998521,97734
1741132800000,2025-03-05,BTCEUR,82184.69,84967.73,81349.78,83970.96,376.38799,31274857.123971,92012
1741046400000,2025-03-04,BTCEUR,82230.76,83784.68,77612.16,82195.66,729.35427,58526127.0374127,150263
1740960000000,2025-03-03,BTCEUR,90606.35,90763.09,80993.1,82235.06,878.10772,75168358.4012168,141944
1740873600000,2025-03-02,BTCEUR,83051.42,93000.0,82083.86,90592.39,676.1915,59372605.5815554,88889
1740787200000,2025-03-01,BTCEUR,81320.22,83443.42,80803.53,83070.0,257.67827,21160383.39821,28349
1740700800000,2025-02-28,BTCEUR,81452.28,82057.09,75175.64,81315.68,964.88603,75551317.6617906,116678
1740614400000,2025-02-27,BTCEUR,80225.71,83047.57,79452.03,81452.11,593.48152,48350989.6254411,69684
1740528000000,2025-02-26,BTCEUR,84265.25,85045.81,78296.1,80217.72,666.77417,54532473.2158262,84950
1740441600000,2025-02-25,BTCEUR,87552.77,88521.04,81774.33,84274.25,919.67622,77721439.5957227,114070
1740355200000,2025-02-24,BTCEUR,91759.36,91954.87,87370.01,87584.45,312.12407,28123816.0748884,51637
1740268800000,2025-02-23,BTCEUR,92266.55,92366.68,90964.0,91743.11,72.96028,6680881.2415581,15110
1740182400000,2025-02-22,BTCEUR,91992.13,92736.91,91611.58,92271.76,74.10543,6838409.8455822,16088
1740096000000,2025-02-21,BTCEUR,93568.2,94951.64,90660.78,91990.87,340.83588,31724590.8995668,55300
1740009600000,2025-02-20,BTCEUR,92496.9,94021.69,92254.47,93568.86,184.04068,17160074.7154153,30174
1739923200000,2025-02-19,BTCEUR,91551.76,92760.29,90953.25,92498.34,190.92773,17567128.8593011,31325
1739836800000,2025-02-18,BTCEUR,91340.45,92621.81,89470.64,91535.9,294.42847,26787831.5842834,43167
1739750400000,2025-02-17,BTCEUR,91716.5,92700.0,90908.52,91340.43,214.31878,19647757.3594771,32179
